renderer,pass,term,coefficient_normalized_formula,coefficient_raw_GQOA_units,std_error_normalized,ci95_low_normalized,ci95_high_normalized,descriptive_p_value_after_selection,selection_origin
Forward,forward,const,0.5527591915788173,0.5527591915788173,0.13845419652221566,0.2793641262499351,0.8261542569076994,9.873257701977975e-05,intercept
Forward,forward,G,63.47233443661543,2.080079384622985e-07,1.8500863173923665,59.81910844337948,67.12556042985138,1.8055954512392088e-76,ElasticNet
Forward,forward,Q,-0.6739291733383033,-0.0035100477778036627,0.27504854361623887,-1.2170467995238685,-0.13081154715273802,0.015334260518495124,ElasticNet
Forward,forward,O,0.08325451334753105,0.0026017035421103452,0.25822315848472743,-0.42663929310011045,0.5931483197951726,0.7475529673173044,ElasticNet
Forward,forward,A,1.1522232002026775,0.009001743751583418,0.29097709915163894,0.5776526560804813,1.7267937443248738,0.00011182565090808619,ElasticNet
Forward,forward,GO,128.60883076812274,1.3170924187666413e-08,15.959972737535763,97.09387565063273,160.12378588561276,1.5602670126321613e-13,ElasticNet
Forward,forward,OA,41.22736329631456,0.010065274242264296,0.7629017445634089,39.72091872812146,42.733807864507654,5.556918192961627e-106,ElasticNet
Forward,forward,GQO,-179.3705492639601,-9.567431673373823e-11,20.574199836605885,-219.99687081800417,-138.74422770991603,3.09910108975864e-15,ElasticNet
Forward,forward,GQA,-9.35677132710199,-1.2477002317656725e-12,4.221210254602424,-17.69207702611562,-1.0214656280883627,0.028034123989551053,ElasticNet
Forward,forward,QOA,30.402193700546025,3.865838839282484e-05,1.728030341640513,26.989982442165754,33.814404958926296,1.6320332284131614e-39,ElasticNet
Forward,total,const,0.5527591915788173,0.5527591915788173,0.13845419652221566,0.2793641262499351,0.8261542569076994,9.873257701977975e-05,intercept
Forward,total,G,63.47233443661543,2.080079384622985e-07,1.8500863173923665,59.81910844337948,67.12556042985138,1.8055954512392088e-76,ElasticNet
Forward,total,Q,-0.6739291733383033,-0.0035100477778036627,0.27504854361623887,-1.2170467995238685,-0.13081154715273802,0.015334260518495124,ElasticNet
Forward,total,O,0.08325451334753105,0.0026017035421103452,0.25822315848472743,-0.42663929310011045,0.5931483197951726,0.7475529673173044,ElasticNet
Forward,total,A,1.1522232002026775,0.009001743751583418,0.29097709915163894,0.5776526560804813,1.7267937443248738,0.00011182565090808619,ElasticNet
Forward,total,GO,128.60883076812274,1.3170924187666413e-08,15.959972737535763,97.09387565063273,160.12378588561276,1.5602670126321613e-13,ElasticNet
Forward,total,OA,41.22736329631456,0.010065274242264296,0.7629017445634089,39.72091872812146,42.733807864507654,5.556918192961627e-106,ElasticNet
Forward,total,GQO,-179.3705492639601,-9.567431673373823e-11,20.574199836605885,-219.99687081800417,-138.74422770991603,3.09910108975864e-15,ElasticNet
Forward,total,GQA,-9.35677132710199,-1.2477002317656725e-12,4.221210254602424,-17.69207702611562,-1.0214656280883627,0.028034123989551053,ElasticNet
Forward,total,QOA,30.402193700546025,3.865838839282484e-05,1.728030341640513,26.989982442165754,33.814404958926296,1.6320332284131614e-39,ElasticNet
ForwardPrepass,depth_prepass,const,0.39133167215436754,0.39133167215436754,0.12849049240158156,0.13739004583988257,0.6452732984688525,0.002755925050128437,intercept
ForwardPrepass,depth_prepass,G,92.66677406189342,3.0368230202427513e-07,2.77382566995672,87.18473575247369,98.14881237131316,2.911441281969254e-70,ElasticNet
ForwardPrepass,depth_prepass,Q,-0.5220238221425232,-0.002718874073658975,0.31153142651125215,-1.1377176031974479,0.0936699589124016,0.09594319108072386,ElasticNet
ForwardPrepass,depth_prepass,O,0.02047537564951426,0.0006398554890473206,0.28141662817171426,-0.5357011545680959,0.5766519058671244,0.9420980917174568,weak-hierarchy main effect
ForwardPrepass,depth_prepass,A,-0.026970710923408005,-0.00021070867908912504,0.3010551343051473,-0.6219597174005425,0.5680182955537265,0.9287379713622458,weak-hierarchy main effect
ForwardPrepass,depth_prepass,GQ,-42.79942059490541,-7.305199813584257e-10,2.6078991151858757,-47.95353067882207,-37.64531051098876,5.835726573346039e-35,ElasticNet
ForwardPrepass,depth_prepass,GO,-0.4023365688958028,-4.120358155192793e-11,1.8500930307292531,-4.058759890771859,3.2540867529802533,0.8281470383669283,ElasticNet
ForwardPrepass,depth_prepass,QO,-0.0811961336793767,-1.3215516549377717e-05,0.5755137820174312,-1.2186102959283776,1.056218028569624,0.8879975817649769,ElasticNet
ForwardPrepass,depth_prepass,QA,0.0421682762819462,1.7158315544411702e-06,0.6515866102203844,-1.2455920894186228,1.3299286419825151,0.948488408283001,ElasticNet
ForwardPrepass,depth_prepass,OA,0.22964671379959173,5.606609223622845e-05,0.49866282774887877,-0.7558833989293676,1.2151768265285512,0.6458246015040471,ElasticNet
ForwardPrepass,depth_prepass,GQA,-1.4827228964693737,-1.9771710100583308e-13,2.393640333715178,-6.213383568667849,3.247937775729102,0.5365902495837132,ElasticNet
ForwardPrepass,forward,const,0.4031671810434902,0.4031671810434902,0.13049675289674953,0.145275151266251,0.6610592108207294,0.0023983500372887876,intercept
ForwardPrepass,forward,G,89.90800214569252,2.946414109956068e-07,2.6662969157909244,84.63877736930162,95.17722692208342,4.577333765432736e-71,ElasticNet
ForwardPrepass,forward,Q,-0.48212375691875803,-0.0025110612339518646,0.29695675791936477,-1.0689795932205728,0.10473207938305679,0.1066146528477283,ElasticNet
ForwardPrepass,forward,O,-0.00467763587411316,-0.00014617612106603624,0.2859683646011065,-0.5698178432891431,0.5604625715409167,0.9869716207216322,weak-hierarchy main effect
ForwardPrepass,forward,A,1.2391092131121935,0.009680540727439011,0.303634756811657,0.6390560929626645,1.8391623332617224,7.332158318338013e-05,ElasticNet
ForwardPrepass,forward,GQ,-41.220072388492014,-7.035629476820186e-10,2.6413365896943155,-46.43996973704991,-36.00017503993412,5.355132075059055e-33,ElasticNet
ForwardPrepass,forward,GO,0.4748248583235752,4.862716015725846e-11,1.5932399825709045,-2.6737890642968565,3.623438780944007,0.7661051257274389,ElasticNet
ForwardPrepass,forward,QO,-0.1691698203825706,-2.7534150452892353e-05,0.5851239062253806,-1.3255111736961136,0.9871715329309723,0.7728984604773818,ElasticNet
ForwardPrepass,forward,QA,0.6812818053339179,2.772142762589184e-05,0.5709534607917032,-0.44705544171170797,1.809619052379544,0.23469951836086275,ElasticNet
ForwardPrepass,forward,OA,0.163876593626627,4.000893399087573e-05,0.5071021548764452,-0.8382755758528008,1.1660287631060546,0.74703113330942,ElasticNet
ForwardPrepass,total,const,0.7869359332389395,0.7869359332389395,0.257916909479331,0.2772319457985447,1.2966399206793344,0.002705771697244622,intercept
ForwardPrepass,total,G,182.56856619743007,5.983033619264202e-07,5.269733116035231,172.15434408453248,192.98278831032766,1.3349244398280717e-72,ElasticNet
ForwardPrepass,total,Q,-0.9433155773028258,-0.0049131019651188846,0.5869124522367496,-2.103191514818528,0.2165603602128764,0.1101451680169218,ElasticNet
ForwardPrepass,total,O,0.006718068623988728,0.00020993964449964774,0.5651947283710004,-1.1102385795948289,1.1236747168428063,0.9905324521563703,weak-hierarchy main effect
ForwardPrepass,total,A,1.2505147129209704,0.009769646194695081,0.6001110092703424,0.06455534736612734,2.4364740784758134,0.038908611926498964,ElasticNet
ForwardPrepass,total,GQ,-84.53188599785754,-1.4428286861130562e-09,5.220400929421153,-94.84861620036774,-74.21515579534734,1.7103971392172337e-34,ElasticNet
ForwardPrepass,total,GO,0.14399151055038825,1.474627564685708e-11,3.1489176798806495,-6.079004495399143,6.36698751649992,0.9635896634411208,ElasticNet
ForwardPrepass,total,QO,-0.2111720361894938,-3.437044859855042e-05,1.1564529094109213,-2.496592795936267,2.074248723557279,0.855360940522957,ElasticNet
ForwardPrepass,total,QA,0.4911086571996756,1.998326241860659e-05,1.1284461014937062,-1.7389641158652633,2.7211814302646147,0.6640498301406916,ElasticNet
ForwardPrepass,total,OA,0.3796194007337911,9.268051775727321e-05,1.0022488504332707,-1.6010581612944894,2.3602969627620713,0.7054069393893325,ElasticNet
VisBuf,visibility,const,0.6090898042429018,0.6090898042429018,0.14833508644297388,0.31628614052829623,0.9018934679575075,6.222334687271186e-05,intercept
VisBuf,visibility,G,61.7749896394693,2.024454962542425e-07,1.361957011641155,59.08657645016202,64.46340282877657,2.9599351244956113e-97,ElasticNet
VisBuf,visibility,Q,-0.7665890998772766,-0.0039926515618608155,0.2530158725579488,-1.2660257216464363,-0.26715247810811704,0.002827116128759158,ElasticNet
VisBuf,visibility,O,0.40177915917433793,0.01255559872419806,0.220409522382709,-0.03329468086454007,0.8368529992132159,0.07006872337598884,ElasticNet
VisBuf,visibility,A,-0.09127753197005804,-0.0007131057185160785,0.24165437183157007,-0.5682873016858516,0.3857322377457355,0.7061075125564188,weak-hierarchy main effect
